dstport,protocol,tag
445,EMCON,sv_P397
62055,EGP,sv_P398
17194,CHAOS,sv_P399
24421,CBT,sv_P400
59873,PUP,sv_P401
62688,CHAOS,sv_P402
52199,TCP,sv_P403
39406,PUP,sv_P404
40635,IGP,sv_P405
42303,EMCON,sv_P406
31745,XNET,sv_P407
9699,CBT,sv_P408
56952,PUP,sv_P409
62741,EGP,sv_P410
20617,NVP-II,sv_P411
44448,CBT,sv_P412
6909,CBT,sv_P413
4359,UDP,sv_P414
9793,BBN-RCC-MON,sv_P415
12782,EGP,sv_P416
60406,CHAOS,sv_P417
40295,EMCON,sv_P418
46056,TCP,sv_P419
42776,EMCON,sv_P420
39429,BBN-RCC-MON,sv_P421
4300,TCP,sv_P422
56310,NVP-II,sv_P423
62254,XNET,sv_P424
57479,IGP,sv_P425
40801,IGP,sv_P426
32180,NVP-II,sv_P427
34641,EMCON,sv_P428
25057,PUP,sv_P429
48971,CHAOS,sv_P430
21937,BBN-RCC-MON,sv_P431
2094,EGP,sv_P432
2991,EMCON,sv_P433
15862,TCP,sv_P434
34183,EGP,sv_P435
2369,IGP,sv_P436
16327,EMCON,sv_P437
32087,CBT,sv_P438
1483,UDP,sv_P439
12528,EMCON,sv_P440
46754,UDP,sv_P441
32443,XNET,sv_P442
47536,UDP,sv_P443
60888,PUP,sv_P444
8451,UDP,sv_P445
16436,IGP,sv_P446
20578,IGP,sv_P447
10888,CHAOS,sv_P448
51917,EGP,sv_P449
58212,CHAOS,sv_P450
34861,XNET,sv_P451
57964,CHAOS,sv_P452
37208,IGP,sv_P453
36383,TCP,sv_P454
17480,UDP,sv_P455
47157,EGP,sv_P456
41586,CHAOS,sv_P457
10705,CBT,sv_P458
8140,PUP,sv_P459
30440,BBN-RCC-MON,sv_P460
39745,EGP,sv_P461
25174,XNET,sv_P462
38915,CHAOS,sv_P463
42399,CBT,sv_P464
52963,NVP-II,sv_P465
26954,BBN-RCC-MON,sv_P466
61813,CBT,sv_P467
59028,IGP,sv_P468
24577,CBT,sv_P469
35854,UDP,sv_P470
41375,EGP,sv_P471
42157,CBT,sv_P472
27576,PUP,sv_P473
52690,PUP,sv_P474
32393,CHAOS,sv_P475
50832,CBT,sv_P476
5720,XNET,sv_P477
5663,PUP,sv_P478
55736,UDP,sv_P479
14180,XNET,sv_P480
8480,CBT,sv_P481
52574,EMCON,sv_P482
54174,XNET,sv_P483
32866,PUP,sv_P484
8137,BBN-RCC-MON,sv_P485
40255,UDP,sv_P486
11822,IGP,sv_P487
308,XNET,sv_P488
14789,XNET,sv_P489
1234,EMCON,sv_P490
52345,IGP,sv_P491
33360,TCP,sv_P492
33755,CHAOS,sv_P493
18933,PUP,sv_P494
16572,TCP,sv_P495
34347,EMCON,sv_P496
8756,PUP,sv_P497
57045,BBN-RCC-MON,sv_P498
32829,UDP,sv_P499
20840,PUP,sv_P500
60981,CHAOS,sv_P501
20770,PUP,sv_P502
53209,XNET,sv_P503
51377,BBN-RCC-MON,sv_P504
31744,NVP-II,sv_P505
18712,NVP-II,sv_P506
54825,EGP,sv_P507
59615,CBT,sv_P508
17161,CBT,sv_P509
40977,EMCON,sv_P510
28662,XNET,sv_P511
26664,TCP,sv_P512
33138,EGP,sv_P513
62711,EMCON,sv_P514
11868,EGP,sv_P515
48284,PUP,sv_P516
5654,UDP,sv_P517
18832,XNET,sv_P518
33485,NVP-II,sv_P519
51000,IGP,sv_P520
42051,TCP,sv_P521
39740,CBT,sv_P522
4889,NVP-II,sv_P523
54971,UDP,sv_P524
28802,TCP,sv_P525
39918,CBT,sv_P526
27902,PUP,sv_P527
64848,IGP,sv_P528
13390,UDP,sv_P529
34873,XNET,sv_P530
41405,NVP-II,sv_P531
7993,TCP,sv_P532
61871,XNET,sv_P533
30397,XNET,sv_P534
36484,CBT,sv_P535
880,EGP,sv_P536
42601,BBN-RCC-MON,sv_P537
14490,IGP,sv_P538
60472,IGP,sv_P539
65016,PUP,sv_P540
42645,EGP,sv_P541
36555,CBT,sv_P542
23972,EMCON,sv_P543
6857,XNET,sv_P544
54780,CHAOS,sv_P545
6006,IGP,sv_P546
64243,EGP,sv_P547
5207,BBN-RCC-MON,sv_P548
3607,EGP,sv_P549
63626,PUP,sv_P550
5308,UDP,sv_P551
43209,IGP,sv_P552
15645,TCP,sv_P553
44,XNET,sv_P554
7711,BBN-RCC-MON,sv_P555
43553,XNET,sv_P556
60478,IGP,sv_P557
33905,EGP,sv_P558
50713,CHAOS,sv_P559
25382,CHAOS,sv_P560
58284,EMCON,sv_P561
39543,XNET,sv_P562
41842,XNET,sv_P563
29050,BBN-RCC-MON,sv_P564
11122,XNET,sv_P565
27276,CHAOS,sv_P566
46397,XNET,sv_P567
39444,TCP,sv_P568
53713,UDP,sv_P569
58964,CBT,sv_P570
19121,UDP,sv_P571
34291,NVP-II,sv_P572
52863,CHAOS,sv_P573
54353,UDP,sv_P574
40180,PUP,sv_P575
36851,TCP,sv_P576
10646,CBT,sv_P577
60247,CHAOS,sv_P578
32653,EMCON,sv_P579
40197,XNET,sv_P580
34905,XNET,sv_P581
43934,NVP-II,sv_P582
36652,CBT,sv_P583
59704,PUP,sv_P584
24943,CHAOS,sv_P585
17275,NVP-II,sv_P586
3266,BBN-RCC-MON,sv_P587
33258,PUP,sv_P588
8075,PUP,sv_P589
18378,UDP,sv_P590
33378,BBN-RCC-MON,sv_P591
61068,XNET,sv_P592
31979,EMCON,sv_P593
19158,EMCON,sv_P594
21060,EMCON,sv_P595
2563,UDP,sv_P596
62223,TCP,sv_P597
41971,EMCON,sv_P598
32388,NVP-II,sv_P599
10383,EMCON,sv_P600
52749,NVP-II,sv_P601
52458,BBN-RCC-MON,sv_P602
59767,BBN-RCC-MON,sv_P603
37715,CBT,sv_P604
22974,TCP,sv_P605
36169,PUP,sv_P606
31363,XNET,sv_P607
63888,CBT,sv_P608
13685,NVP-II,sv_P609
57709,BBN-RCC-MON,sv_P610
6229,UDP,sv_P611
7816,CHAOS,sv_P612
26940,TCP,sv_P613
18790,NVP-II,sv_P614
40224,CHAOS,sv_P615
49831,UDP,sv_P616
9085,IGP,sv_P617
23195,XNET,sv_P618
49204,TCP,sv_P619
47307,TCP,sv_P620
2993,IGP,sv_P621
42880,BBN-RCC-MON,sv_P622
34310,EMCON,sv_P623
17932,IGP,sv_P624
40448,IGP,sv_P625
50972,PUP,sv_P626
55965,CHAOS,sv_P627
51996,EMCON,sv_P628
31282,XNET,sv_P629
53000,BBN-RCC-MON,sv_P630
53924,BBN-RCC-MON,sv_P631
33495,BBN-RCC-MON,sv_P632
23186,EGP,sv_P633
25886,UDP,sv_P634
915,PUP,sv_P635
36687,XNET,sv_P636
15730,CBT,sv_P637
61051,PUP,sv_P638
54607,XNET,sv_P639
47683,EMCON,sv_P640
50717,EGP,sv_P641
26436,EGP,sv_P642
44852,NVP-II,sv_P643
56997,EMCON,sv_P644
45852,BBN-RCC-MON,sv_P645
18107,PUP,sv_P646
11014,PUP,sv_P647
29238,XNET,sv_P648
40601,EMCON,sv_P649
28720,IGP,sv_P650
28556,IGP,sv_P651
45006,BBN-RCC-MON,sv_P652
24967,CHAOS,sv_P653
51048,EMCON,sv_P654
62041,PUP,sv_P655
16256,BBN-RCC-MON,sv_P656
59140,EGP,sv_P657
2478,EMCON,sv_P658
4967,NVP-II,sv_P659
514,TCP,sv_P660
33916,CBT,sv_P661
28035,TCP,sv_P662
7601,EMCON,sv_P663
41116,CBT,sv_P664
7793,PUP,sv_P665
14361,TCP,sv_P666
21698,BBN-RCC-MON,sv_P667
42953,NVP-II,sv_P668
8459,IGP,sv_P669
33374,EMCON,sv_P670
47024,XNET,sv_P671
47444,PUP,sv_P672
41110,CBT,sv_P673
63242,IGP,sv_P674
48141,CHAOS,sv_P675
38739,NVP-II,sv_P676
55842,UDP,sv_P677
25748,TCP,sv_P678
33034,IGP,sv_P679
7346,CBT,sv_P680
17572,NVP-II,sv_P681
46429,PUP,sv_P682
27003,NVP-II,sv_P683
63486,XNET,sv_P684
51364,IGP,sv_P685
52364,CHAOS,sv_P686
20241,PUP,sv_P687
26238,TCP,sv_P688
17056,EMCON,sv_P689
38248,TCP,sv_P690
40053,BBN-RCC-MON,sv_P691
64626,PUP,sv_P692
16937,EMCON,sv_P693
28996,PUP,sv_P694
45527,IGP,sv_P695
59927,EGP,sv_P696
36522,PUP,sv_P697
53895,BBN-RCC-MON,sv_P698
10312,TCP,sv_P699
14833,EGP,sv_P700
21827,UDP,sv_P701
50992,UDP,sv_P702
46570,IGP,sv_P703
8195,NVP-II,sv_P704
34040,XNET,sv_P705
7771,IGP,sv_P706
8109,EGP,sv_P707
21712,TCP,sv_P708
20515,NVP-II,sv_P709
26370,IGP,sv_P710
54627,IGP,sv_P711
32150,CHAOS,sv_P712
31186,UDP,sv_P713
29889,CBT,sv_P714
9120,BBN-RCC-MON,sv_P715
29252,BBN-RCC-MON,sv_P716
7983,XNET,sv_P717
22237,CHAOS,sv_P718
12406,EGP,sv_P719
42771,BBN-RCC-MON,sv_P720
43608,BBN-RCC-MON,sv_P721
26907,CBT,sv_P722
45178,CHAOS,sv_P723
29538,PUP,sv_P724
8984,IGP,sv_P725
51667,UDP,sv_P726
61151,CHAOS,sv_P727
6441,CHAOS,sv_P728
22344,UDP,sv_P729
25192,CBT,sv_P730
23001,EMCON,sv_P731
52346,BBN-RCC-MON,sv_P732
14029,TCP,sv_P733
52751,BBN-RCC-MON,sv_P734
29372,BBN-RCC-MON,sv_P735
24645,CHAOS,sv_P736
18590,EGP,sv_P737
36861,IGP,sv_P738
32281,EGP,sv_P739
12297,EGP,sv_P740
29521,TCP,sv_P741
9002,TCP,sv_P742
17049,NVP-II,sv_P743
60049,IGP,sv_P744
60433,NVP-II,sv_P745
20671,TCP,sv_P746
20855,BBN-RCC-MON,sv_P747
3997,EGP,sv_P748
54838,NVP-II,sv_P749
63342,EMCON,sv_P750
65122,UDP,sv_P751
50663,EGP,sv_P752
14456,EGP,sv_P753
4371,CHAOS,sv_P754
53856,IGP,sv_P755
21822,PUP,sv_P756
25710,UDP,sv_P757
52628,EGP,sv_P758
63660,CHAOS,sv_P759
33397,CBT,sv_P760
50337,CHAOS,sv_P761
25961,BBN-RCC-MON,sv_P762
56912,BBN-RCC-MON,sv_P763
29131,BBN-RCC-MON,sv_P764
39179,BBN-RCC-MON,sv_P765
61138,UDP,sv_P766
15179,XNET,sv_P767
4997,XNET,sv_P768
40802,BBN-RCC-MON,sv_P769
50381,NVP-II,sv_P770
52312,PUP,sv_P771
42240,CBT,sv_P772
20427,PUP,sv_P773
58939,UDP,sv_P774
42947,EGP,sv_P775
10004,PUP,sv_P776
12991,CHAOS,sv_P777
26606,UDP,sv_P778
22634,XNET,sv_P779
54367,EGP,sv_P780
31402,UDP,sv_P781
37081,NVP-II,sv_P782
22208,CHAOS,sv_P783
23294,PUP,sv_P784
30021,PUP,sv_P785
63080,EMCON,sv_P786
53382,PUP,sv_P787
30644,UDP,sv_P788
55082,NVP-II,sv_P789
42770,EMCON,sv_P790
31145,UDP,sv_P791
20949,UDP,sv_P792
32230,BBN-RCC-MON,sv_P793
629,IGP,sv_P794
21880,TCP,sv_P795
47954,TCP,sv_P796
10566,TCP,sv_P797
16833,EMCON,sv_P798
4857,NVP-II,sv_P799
24172,CBT,sv_P800
48129,UDP,sv_P801
9985,TCP,sv_P802
50005,TCP,sv_P803
37126,BBN-RCC-MON,sv_P804
14997,PUP,sv_P805
31337,NVP-II,sv_P806
49538,IGP,sv_P807
20557,XNET,sv_P808
63717,PUP,sv_P809
37970,CHAOS,sv_P810
44419,IGP,sv_P811
23470,XNET,sv_P812
5401,XNET,sv_P813
4739,CHAOS,sv_P814
5214,CHAOS,sv_P815
6566,EGP,sv_P816
20485,IGP,sv_P817
54679,EGP,sv_P818
30930,EGP,sv_P819
7952,XNET,sv_P820
36954,NVP-II,sv_P821
47519,UDP,sv_P822
56927,EMCON,sv_P823
34300,CBT,sv_P824
20780,XNET,sv_P825
43146,UDP,sv_P826
14670,XNET,sv_P827
6766,EMCON,sv_P828
9619,XNET,sv_P829
1026,UDP,sv_P830
51715,EGP,sv_P831
57282,BBN-RCC-MON,sv_P832
21302,UDP,sv_P833
4420,NVP-II,sv_P834
56555,UDP,sv_P835
55387,BBN-RCC-MON,sv_P836
52631,XNET,sv_P837
22641,EGP,sv_P838
5713,EGP,sv_P839
62628,XNET,sv_P840
49109,BBN-RCC-MON,sv_P841
38202,CHAOS,sv_P842
13009,CBT,sv_P843
61326,CBT,sv_P844
55518,XNET,sv_P845
50876,NVP-II,sv_P846
34987,IGP,sv_P847
60173,PUP,sv_P848
52893,NVP-II,sv_P849
6881,TCP,sv_P850
44660,IGP,sv_P851
41237,NVP-II,sv_P852
52996,CBT,sv_P853
20601,PUP,sv_P854
22481,EGP,sv_P855
31913,CBT,sv_P856
16310,IGP,sv_P857
10743,CHAOS,sv_P858
62039,NVP-II,sv_P859
55592,PUP,sv_P860
37133,EMCON,sv_P861
7714,CBT,sv_P862
54989,PUP,sv_P863
4446,XNET,sv_P864
10654,PUP,sv_P865
22757,BBN-RCC-MON,sv_P866
36314,EMCON,sv_P867
12649,CBT,sv_P868
49527,CHAOS,sv_P869
12891,TCP,sv_P870
4616,CHAOS,sv_P871
37138,EGP,sv_P872
52437,NVP-II,sv_P873
35409,XNET,sv_P874
9523,CBT,sv_P875
39401,EGP,sv_P876
41667,CBT,sv_P877
11995,TCP,sv_P878
63214,UDP,sv_P879
56446,NVP-II,sv_P880
51711,CBT,sv_P881
34457,UDP,sv_P882
35241,CHAOS,sv_P883
23508,CHAOS,sv_P884
37209,EMCON,sv_P885
38128,TCP,sv_P886
30589,XNET,sv_P887
56591,XNET,sv_P888
59234,BBN-RCC-MON,sv_P889
18507,CBT,sv_P890
2096,CHAOS,sv_P891
11945,IGP,sv_P892
37240,EMCON,sv_P893
40957,BBN-RCC-MON,sv_P894
13815,PUP,sv_P895
43247,NVP-II,sv_P896
59878,TCP,sv_P897
10832,XNET,sv_P898
57953,EGP,sv_P899
3845,EGP,sv_P900
30746,CHAOS,sv_P901
55308,EMCON,sv_P902
50919,CBT,sv_P903
63325,XNET,sv_P904
17849,TCP,sv_P905
32451,CBT,sv_P906
48264,CBT,sv_P907
13822,EMCON,sv_P908
26624,EGP,sv_P909
17198,TCP,sv_P910
15744,PUP,sv_P911
23994,BBN-RCC-MON,sv_P912
47988,NVP-II,sv_P913
54787,PUP,sv_P914
22268,CHAOS,sv_P915
64878,TCP,sv_P916
53260,EGP,sv_P917
40689,EGP,sv_P918
37741,NVP-II,sv_P919
38266,CBT,sv_P920
12517,NVP-II,sv_P921
28144,TCP,sv_P922
54542,CBT,sv_P923
46210,CHAOS,sv_P924
16262,IGP,sv_P925
37023,EGP,sv_P926
5427,NVP-II,sv_P927
7244,CHAOS,sv_P928
3939,CBT,sv_P929
28175,NVP-II,sv_P930
17758,EMCON,sv_P931
24568,UDP,sv_P932
21581,NVP-II,sv_P933
63083,PUP,sv_P934
1356,XNET,sv_P935
15576,XNET,sv_P936
43333,BBN-RCC-MON,sv_P937
15714,CBT,sv_P938
12082,NVP-II,sv_P939
24024,UDP,sv_P940
42821,CBT,sv_P941
54059,UDP,sv_P942
1634,CBT,sv_P943
12544,BBN-RCC-MON,sv_P944
53210,IGP,sv_P945
54429,CHAOS,sv_P946
24009,CBT,sv_P947
12792,PUP,sv_P948
40341,EMCON,sv_P949
5156,XNET,sv_P950
50324,UDP,sv_P951
57118,PUP,sv_P952
64243,XNET,sv_P953
6962,CBT,sv_P954
63668,CHAOS,sv_P955
50656,EGP,sv_P956
38154,PUP,sv_P957
39796,IGP,sv_P958
9626,BBN-RCC-MON,sv_P959
56739,UDP,sv_P960
46278,CBT,sv_P961
15710,XNET,sv_P962
27806,BBN-RCC-MON,sv_P963
25835,EMCON,sv_P964
57282,EMCON,sv_P965
21460,PUP,sv_P966
37699,NVP-II,sv_P967
62086,EGP,sv_P968
6537,CBT,sv_P969
19973,IGP,sv_P970
11039,CBT,sv_P971
49479,CBT,sv_P972
38384,CHAOS,sv_P973
40132,CHAOS,sv_P974
14422,NVP-II,sv_P975
33707,EMCON,sv_P976
38480,EMCON,sv_P977
29768,TCP,sv_P978
61863,UDP,sv_P979
43303,NVP-II,sv_P980
42905,CBT,sv_P981
2857,PUP,sv_P982
37667,BBN-RCC-MON,sv_P983
39420,CHAOS,sv_P984
4755,NVP-II,sv_P985
47381,PUP,sv_P986
47737,UDP,sv_P987
33268,CHAOS,sv_P988
1471,IGP,sv_P989
60584,XNET,sv_P990
39077,EGP,sv_P991
41611,BBN-RCC-MON,sv_P992
3140,XNET,sv_P993
